#"Step","Potential Energy (kJ/mole)"
10,45.1044903727
20,729.860248336
30,1161.54298399
40,341.00357336
50,461.831816863
60,227.427730908
70,408.665962876
80,1043.94873627
90,449.146236047
100,237.118747252
110,445.040920003
120,266.097032388
130,821.938617497
140,310.371711832
150,311.318191571
160,26.0157561579
170,511.693761862
180,650.56767032
190,110.989193724
200,314.82215645
210,65.334000825
220,561.815108502
230,572.914768648
240,91.2915653125
250,447.033094189
260,62.7806167671
270,529.789851616
280,316.460490497
290,102.467102004
300,357.849690709
310,156.020512297
320,302.831375529
330,201.295353487
340,421.102586444
350,232.016586564
360,182.788793694
370,204.76726708
380,92.4132728713
390,11.9756490218
400,82.6155212575
410,291.55245802
420,132.485084396
430,46.6947875873
440,90.500640649
450,199.624865737
460,150.459072302
470,53.7083213916
480,171.52929613
490,113.989554792
500,108.211866002
510,137.003177377
520,126.648928427
530,199.342581019
540,36.1301536661
550,155.892250661
560,286.067563926
570,80.7865412073
580,97.2357363673
590,75.1465354928
600,69.5249687757
610,143.529116191
620,61.8192069734
630,45.863859742
640,94.3062017107
650,82.3507759722
660,64.9301753662
670,25.7528011684
680,57.1570534942
690,45.1047342415
700,54.357086384
710,135.999721658
720,69.537484126
730,72.1655523732
740,17.3334315919
750,122.130438216
760,69.8062225375
770,18.7765798599
780,71.1454889121
790,84.3936265683
800,101.573305165
810,33.9215908148
820,39.7508545901
830,108.209293927
840,52.1200402776
850,65.364920244
860,53.3670353
870,42.2188267326
880,90.2869960525
890,43.7674787837
900,30.5549821529
910,68.5085782229
920,43.9153044975
930,30.1335304439
940,14.4244766522
950,58.7174058352
960,72.3107645374
970,5.61820003697
980,32.8768437765
990,50.3247353759
1000,62.5357013055
1010,38.8160490105
1020,6.30736416864
1030,52.6630649906
1040,62.2946293514
1050,36.5368257837
1060,29.9067544175
1070,25.9983338864
1080,47.3785575815
1090,48.9304060694
1100,24.0233727489
1110,55.0752855944
1120,41.4148652673
1130,20.6554451299
1140,38.7397861172
1150,40.3871249017
1160,58.9631663252
1170,19.1188837806
1180,21.5350028896
1190,61.2138763552
1200,48.7110541095
1210,20.0964763214
1220,16.1096363486
1230,45.6650909151
1240,60.8807489142
1250,26.8645782534
1260,11.2860759202
1270,37.7018381653
1280,44.8698820253
1290,39.1966537354
1300,18.9026701476
1310,26.9498880303
1320,37.9680123384
1330,13.6209977325
1340,19.1840271876
1350,26.2587240088
1360,34.9128088117
1370,22.3271168849
1380,4.78220768265
1390,24.330888943
1400,37.759366034
1410,19.1997946949
1420,1.08973426826
1430,10.6296741986
1440,30.7582675914
1450,21.1320814944
1460,2.48130166865
1470,28.5123890087
1480,16.1432141589
1490,13.1642926957
1500,6.63838540813
1510,4.27760752047
1520,12.1398629415
1530,-0.823157812061
1540,0.439558891885
1550,4.23220494554
1560,5.18909611867
1570,7.97277755609
1580,-2.7126023541
1590,2.27814619154
1600,9.84915698772
1610,2.11892240131
1620,-0.203959105595
1630,-0.743007536366
1640,3.29466092803
1650,8.29227919083
1660,-3.02470229009
1670,-3.58970761555
1680,2.29852919487
1690,-1.17696026184
1700,0.395132072386
1710,-5.70022445048
1720,-1.81310089318
1730,5.38696765545
1740,-3.59736499444
1750,-1.78384125384
1760,-1.48172551949
1770,-1.27981147201
1780,-5.74870215844
1790,-8.27029263535
1800,-3.52145075434
1810,-3.71930162513
1820,-7.39633479103
1830,-8.28017345477
1840,-5.6483077946
1850,-2.90650688174
1860,-6.01279991975
1870,-7.57704004029
1880,-4.08672047739
1890,-3.78809829563
1900,-4.31779131656
1910,-7.67778802864
1920,-5.05178316651
1930,-4.02460739626
1940,-8.39366443583
1950,-6.68983740374
1960,-6.10948948636
1970,-5.6516644044
1980,-6.07157468024
1990,-9.96272412116
2000,-8.02768182676
2010,-4.83036375868
2020,-1.11237205644
2030,2.1343172701
2040,-3.72369613003
2050,-8.48080980474
2060,-11.4667113548
2070,-9.92527006193
2080,-9.24453776755
2090,-8.7713945968
2100,-9.04960058597
2110,-11.2071458168
2120,-11.6814145669
2130,-11.1358978404
2140,-11.0615488455
2150,-9.88271250757
2160,-10.2908594816
2170,-10.7753023224
2180,-10.0532874423
2190,-8.95489311725
2200,-7.56261195391
2210,-7.78754581294
2220,-8.92802429717
2230,-8.85462979671
2240,-7.36698159236
2250,-6.20956554279
2260,-6.19234442437
2270,-6.27618140285
2280,-5.44313954431
2290,-4.64505519677
2300,-4.48710677284
2310,-5.04258374085
2320,-5.66121498066
2330,-6.02372967298
2340,-6.43770406202
2350,-6.94215214995
2360,-6.51341757503
2370,-5.67905422865
2380,-5.63764012655
2390,-6.55923852203
2400,-7.99506242284
2410,-8.50208950755
2420,-9.12576246548
2430,-9.21912660686
2440,-9.39187719615
2450,-9.63430834322
2460,-8.89565157981
2470,-8.1477033538
2480,-7.92750851548
2490,-7.21283310353
2500,-7.72354148256
2510,-8.20895269936
2520,-8.97251966705
2530,-10.3922215431
2540,-10.8836889942
2550,-11.3745552997
2560,-11.5634699126
2570,-11.0642263536
2580,-10.9764644315
2590,-10.9528587044
2600,-11.5533045392
2610,-11.6521063331
2620,-11.1691468891
2630,-10.8143001776
2640,-10.9015133327
